Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
Samsung Galaxy A14,CONTADO,41.9 41.9,959,779,dto.,19%,
Samsung Galaxy A14,CUOTA,41.9 41.9,,,12,0, 102
Samsung Galaxy A14,CUOTA,41.9 41.9,,,18,219, 45
Samsung Galaxy A14,CONTADO,55.9 55.9,959,779,dto.,19%,
Samsung Galaxy A14,CUOTA,55.9 55.9,,,12,0, 102
Samsung Galaxy A14,CUOTA,55.9 55.9,,,18,149, 45
Samsung Galaxy A14,CONTADO,65.9,959,779,dto.,19%,
Samsung Galaxy A14,CUOTA,65.9,,,12,0, 102
Samsung Galaxy A14,CUOTA,65.9,,,18,149, 45
Samsung Galaxy A14,CONTADO,99.9,959,779,dto.,19%,
Samsung Galaxy A14,CUOTA,99.9,,,12,0, 102
Samsung Galaxy A14,CUOTA,99.9,,,18,99, 45
Samsung Galaxy A14,CONTADO,159.9,959,779,dto.,19%,
Samsung Galaxy A14,CUOTA,159.9,,,12,0, 102
Samsung Galaxy A14,CUOTA,159.9,,,18,39, 48
Xiaomi Redmi Note 12,CONTADO,41.9 41.9,1495,809,dto.,46%,
Xiaomi Redmi Note 12,CONTADO,55.9 55.9,1495,809,dto.,46%,
Xiaomi Redmi Note 12,CUOTA,55.9 55.9,,,12,0, 106
Xiaomi Redmi Note 12,CONTADO,65.9,1495,809,dto.,46%,
Xiaomi Redmi Note 12,CUOTA,65.9,,,12,0, 106
Xiaomi Redmi Note 12,CONTADO,99.9,1495,809,dto.,46%,
Xiaomi Redmi Note 12,CUOTA,99.9,,,12,0, 106
Xiaomi Redmi Note 12,CONTADO,159.9,1495,809,dto.,46%,
Xiaomi Redmi Note 12,CUOTA,159.9,,,12,0, 106
Xiaomi Redmi Note 11 128GB + Buds Essential,CONTADO,41.9 41.9,1692,669,dto.,60%,
Xiaomi Redmi Note 11 128GB + Buds Essential,CUOTA,41.9 41.9,,,18,219, 50
Xiaomi Redmi Note 11 128GB + Buds Essential,CONTADO,55.9 55.9,1692,669,dto.,60%,
