Equipo,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota,CONTADO_CUOTAS,Plan_Tarifario
Samsung Galaxy A53 ,CONTADO,2520,1529,, 39.9
Samsung Galaxy A53 ,CUOTA,0,18,145 , 39.9
Samsung Galaxy A53 ,CONTADO,2520,1529,, 55.9
Samsung Galaxy A53 ,CUOTA,1169,12,98 , 55.9
Samsung Galaxy A53 ,CUOTA,0,18,145 , 55.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 74.9
Samsung Galaxy A53 ,CUOTA,1029,12,97 , 74.9
Samsung Galaxy A53 ,CUOTA,0,18,135 , 74.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 89.9
Samsung Galaxy A53 ,CUOTA,889,12,97 , 89.9
Samsung Galaxy A53 ,CUOTA,0,18,132 , 89.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 99.9
Samsung Galaxy A53 ,CUOTA,889,12,97 , 99.9
Samsung Galaxy A53 ,CUOTA,0,18,132 , 99.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 109.9
Samsung Galaxy A53 ,CUOTA,839,12,91 , 109.9
Samsung Galaxy A53 ,CUOTA,0,18,132 , 109.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 129.9
Samsung Galaxy A53 ,CUOTA,779,12,96 , 129.9
Samsung Galaxy A53 ,CUOTA,0,18,132 , 129.9
Samsung Galaxy A53 ,CONTADO,2520,1419,, 159.5
Samsung Galaxy A53 ,CUOTA,779,12,96 , 159.5
Samsung Galaxy A53 ,CUOTA,0,18,132 , 159.5
Samsung Galaxy A53 ,CUOTA,0,18,132 , 209.5
Samsung Galaxy A53 ,CUOTA,709,12,102 , 209.5
Samsung Galaxy A53 ,CUOTA,0,18,132 , 209.5
Motorola Moto G31 ,CONTADO,28%,dto.,, 39.9
Motorola Moto G31 ,CUOTA,0,12,86 , 39.9
Motorola Moto G31 ,CUOTA,229,18,53 , 39.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 55.9
Motorola Moto G31 ,CUOTA,0,12,86 , 55.9
Motorola Moto G31 ,CUOTA,179,18,52 , 55.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 74.9
Motorola Moto G31 ,CUOTA,0,12,86 , 74.9
Motorola Moto G31 ,CUOTA,179,18,52 , 74.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 89.9
Motorola Moto G31 ,CUOTA,0,12,86 , 89.9
Motorola Moto G31 ,CUOTA,109,18,52 , 89.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 99.9
Motorola Moto G31 ,CUOTA,0,12,86 , 99.9
Motorola Moto G31 ,CUOTA,109,18,52 , 99.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 109.9
Motorola Moto G31 ,CUOTA,0,12,86 , 109.9
Motorola Moto G31 ,CUOTA,59,18,55 , 109.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 129.9
Motorola Moto G31 ,CUOTA,0,12,86 , 129.9
Motorola Moto G31 ,CUOTA,59,18,55 , 129.9
Motorola Moto G31 ,CONTADO,28%,dto.,, 159.5
Motorola Moto G31 ,CUOTA,0,12,86 , 159.5
Motorola Moto G31 ,CUOTA,59,18,55 , 159.5
Motorola Moto G31 ,CONTADO,28%,dto.,, 209.5
Motorola Moto G31 ,CUOTA,0,12,86 , 209.5
Motorola Moto G31 ,CUOTA,59,18,55 , 209.5
ZTE Blade V30 Vita ,|,CONTADO,28%,, 39.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 39.9
ZTE Blade V30 Vita ,|,CUOTA,119,30 , 39.9
ZTE Blade V30 Vita ,|,CUOTA,79,30 , 55.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 55.9
ZTE Blade V30 Vita ,|,CUOTA,79,30 , 55.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 74.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 74.9
ZTE Blade V30 Vita ,|,CUOTA,79,30 , 74.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 89.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 89.9
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 89.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 99.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 99.9
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 99.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 109.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 109.9
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 109.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 129.9
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 129.9
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 129.9
ZTE Blade V30 Vita ,|,CONTADO,28%,, 159.5
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 159.5
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 159.5
ZTE Blade V30 Vita ,|,CONTADO,28%,, 209.5
ZTE Blade V30 Vita ,|,CUOTA,0,53 , 209.5
ZTE Blade V30 Vita ,|,CUOTA,0,32 , 209.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 39.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 55.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,321 , 55.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,263 , 55.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 74.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,318 , 74.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,260 , 74.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 89.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 89.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 89.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 99.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 99.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 99.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 109.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 109.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 109.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 129.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 129.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 129.9
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 159.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 159.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 159.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CONTADO,, 209.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,302 , 209.5
Samsung Galaxy S21 FE 128GB ,128GB,|,CUOTA,247 , 209.5
Oppo A54 ,17%,dto.,EXCLUSIVO,, 39.9
Oppo A54 ,615,12,CUOTAS,66 , 39.9
Oppo A54 ,219,18,CUOTAS,66 , 39.9
Oppo A54 ,17%,dto.,EXCLUSIVO,, 55.9
Oppo A54 ,609,12,CUOTAS,75 , 55.9
Oppo A54 ,159,18,CUOTAS,75 , 55.9
