General,Plan,Plan_Tarifario,Tipo,Equipo,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota
Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769 |39.9,CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,EXCLUSIVO ONLINE 882 769 
"Oppo A54|CUOTA|S/ 615 12 CUOTAS DE: 66 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 219 18 CUOTAS DE: 66 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,EXCLUSIVO ONLINE 882 769 
"Oppo A54|CUOTA|S/ 609 12 CUOTAS DE: 75 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,
"Oppo A54|CUOTA|S/ 159 18 CUOTAS DE: 75 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 504 12 CUOTAS DE: 84 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 84 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |89.9 Dto. por 12 meses, luego 71.95 71.95",CONTADO,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
