General,Equipo,Plan,Plan_Tarifario,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota,ContadoOnline,CantidadCuota,ContadoOnline_CantidadCuota_v2
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769|39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,CONTADO,39.9,,,882 769,882,769,
"Oppo A54|CUOTA|615 12 CUOTAS DE: 66|39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,CUOTA,39.9,,,,,,
"Oppo A54|CUOTA|219 18 CUOTAS DE: 66|39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,CUOTA,39.9,,,,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769|55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,CONTADO,55.9,,,882 769,882,769,
"Oppo A54|CUOTA|609 12 CUOTAS DE: 75|55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,CUOTA,55.9,,,,,,
"Oppo A54|CUOTA|159 18 CUOTAS DE: 75|55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,CUOTA,55.9,,,,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729|74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,CONTADO,74.9,,,882 729,882,729,
"Oppo A54|CUOTA|504 12 CUOTAS DE: 84|74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,CUOTA,74.9,,,,,,
"Oppo A54|CUOTA|0 18 CUOTAS DE: 84|74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,CUOTA,74.9,,,,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729|89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,CONTADO,89.9,,,882 729,882,729,
"Oppo A54|CUOTA|438 12 CUOTAS DE: 73|89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,CUOTA,89.9,,,,,,
"Oppo A54|CUOTA|0 18 CUOTAS DE: 73|89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,CUOTA,89.9,,,,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729|99.9 Dto. por 12 meses, luego 79.95 79.95",Oppo A54,CONTADO,99.9,,,882 729,882,729,
