Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
Oppo A54,CONTADO,39.9,882,769,dto.,17%,
Oppo A54,CUOTA,39.9,,,12,615, 66
Oppo A54,CUOTA,39.9,,,18,219, 66
Oppo A54,CONTADO,55.9,882,769,dto.,17%,
Oppo A54,CUOTA,55.9,,,12,609, 75
Oppo A54,CUOTA,55.9,,,18,159, 75
Oppo A54,CONTADO,74.9,882,729,dto.,17%,
Oppo A54,CUOTA,74.9,,,12,504, 84
Oppo A54,CUOTA,74.9,,,18,0, 84
Oppo A54,CONTADO,89.9,882,729,dto.,17%,
Oppo A54,CUOTA,89.9,,,12,438, 73
Oppo A54,CUOTA,89.9,,,18,0, 73
Oppo A54,CONTADO,99.9,882,729,dto.,17%,
Oppo A54,CUOTA,99.9,,,12,438, 73
Oppo A54,CUOTA,99.9,,,18,0, 73
Oppo A54,CONTADO,109.9,882,729,dto.,17%,
Oppo A54,CUOTA,109.9,,,12,414, 69
Oppo A54,CUOTA,109.9,,,18,0, 69
Oppo A54,CONTADO,129.9,882,729,dto.,17%,
Oppo A54,CUOTA,129.9,,,12,414, 69
Oppo A54,CUOTA,129.9,,,18,0, 69
Oppo A54,CONTADO,159.5,882,729,dto.,17%,
Oppo A54,CUOTA,159.5,,,12,414, 69
Oppo A54,CUOTA,159.5,,,18,0, 69
Oppo A54,CONTADO,209.5,882,679,dto.,17%,
Oppo A54,CUOTA,209.5,,,12,414, 69
Oppo A54,CUOTA,209.5,,,18,0, 69
